Query,Response (default mode)
"How does the platform ensure real-time updates during an interview?","The Agent component listens for Vapi SDK events such as 'message' for transcript updates and 'speech-start'/'speech-end' for speaking status, updating the UI in real time."
"How does Grocky use Google Gemini?","Google Gemini is used to generate AI-based feedback on the user's interview performance, which is shown on the feedback page after the interview."
"What is the role of the InterviewCard component?","The InterviewCard component displays information about available or past interviews, including details like interview type, status, and actions to start or review an interview."
"How does the feedback page present results to the user?","The feedback page displays the AI-generated feedback, the full transcript of the interview, and may include suggestions for improvement."
"How does Grocky handle environment configuration for third-party services?","Environment variables for Vapi, Google Gemini, and Firebase are set in a .env.local file, which is required for the app to connect to these services."
"How does the user interact with the AI interviewer during a session?","The user speaks with the AI interviewer via the Agent component, which manages the voice call and displays both the AI and user avatars, as well as the live transcript."
"How does Grocky store and retrieve interview transcripts?","Transcripts are collected in real time during the interview and saved via the createFeedback action, which stores them in the backend (Firebase or another service)."
"How does the app validate user input in forms?","The app uses the Zod library for input validation, ensuring that user-provided data meets the required schema before processing."
"How does the platform support both frontend and backend logic?","Grocky uses Next.js, which allows for both frontend React components and backend API routes in the same codebase."
"How does the Agent component handle call status changes?","The Agent component tracks call status using React state and Vapi SDK events, updating the UI to reflect whether the call is connecting, active, or finished."
"How does Grocky ensure a modern and responsive UI?","The app uses Tailwind CSS and shadcn/ui component library to provide a modern, responsive, and accessible user interface."
"How does the user review past interviews?","Users can view past interviews via InterviewCard components, which provide access to transcripts and feedback for completed sessions."
"How does the app handle errors during the interview or feedback process?","The Agent component listens for error events from the Vapi SDK and displays appropriate messages or redirects the user if an error occurs."
"How does Grocky support dynamic interview questions?","When starting an interview, the Agent component can receive a list of questions, which are formatted and passed to the AI interviewer for a customized session."
"Who are the credits for ""Emma""?","The credits for ""Emma"" are An Anonymous Volunteer and David Widger."
